service_date,mode,route_or_line,total_monthly_ridership,countofdates,average_monthly_ridership
2018-07-01T04:00:00.000Z,Ferry,Boat-F1,78419,21,3734.2
2018-07-01T04:00:00.000Z,Ferry,Boat-F4,78697,21,3747.5
2018-07-01T04:00:00.000Z,Rail,Blue Line,1587867,21,75612.7
2018-07-01T04:00:00.000Z,Rail,Green Line,3594274,21,171155.9
2018-07-01T04:00:00.000Z,Rail,Orange Line,4202646,21,200126
2018-07-01T04:00:00.000Z,Rail,Red Line,5111092,21,243385.3
2018-07-01T04:00:00.000Z,The RIDE,The RIDE,129523,21,6167.8
2018-08-01T04:00:00.000Z,Bus,Bus,7694137,23,334527.7
2018-08-01T04:00:00.000Z,Bus,Silver Line,859521,23,37370.5
2018-08-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2781155,23,120919.8
2018-08-01T04:00:00.000Z,Ferry,Boat-F1,83211,23,3617.9
2018-08-01T04:00:00.000Z,Ferry,Boat-F4,80370,23,3494.4
2018-08-01T04:00:00.000Z,Rail,Blue Line,1655644,23,71984.5
2018-08-01T04:00:00.000Z,Rail,Green Line,3706947,23,161171.6
2018-08-01T04:00:00.000Z,Rail,Orange Line,4450677,23,193507.7
2018-08-01T04:00:00.000Z,Rail,Red Line,5411159,23,235267.8
2018-08-01T04:00:00.000Z,The RIDE,The RIDE,140750,23,6119.6
2018-09-01T04:00:00.000Z,Bus,Bus,7063597,19,371768.3
2018-09-01T04:00:00.000Z,Bus,Silver Line,703816,19,37043
2018-09-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2296199,19,120852.6
2018-09-01T04:00:00.000Z,Ferry,Boat-F1,68746,19,3618.2
2018-09-01T04:00:00.000Z,Ferry,Boat-F4,45799,19,2410.4
2018-09-01T04:00:00.000Z,Rail,Blue Line,1433946,19,75470.8
2018-09-01T04:00:00.000Z,Rail,Green Line,3561584,19,187451.8
2018-09-01T04:00:00.000Z,Rail,Orange Line,4043458,19,212813.6
2018-09-01T04:00:00.000Z,Rail,Red Line,4859060,19,255740
2018-09-01T04:00:00.000Z,The RIDE,The RIDE,119784,19,6304.4
2018-10-01T04:00:00.000Z,Bus,Bus,8555318,23,371970.4
2018-10-01T04:00:00.000Z,Bus,Silver Line,879936,23,38258.1
