service_date,mode,route_or_line,total_monthly_ridership,countofdates,average_monthly_ridership
2016-06-01T04:00:00.000Z,The RIDE,The RIDE,159519,22,7250.9
2016-07-01T04:00:00.000Z,Bus,Bus,7105389,20,355269.5
2016-07-01T04:00:00.000Z,Bus,Silver Line,744914,20,37245.7
2016-07-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2818964,21,134236.4
2016-07-01T04:00:00.000Z,Ferry,Boat-F1,74280,20,3714
2016-07-01T04:00:00.000Z,Ferry,Boat-F4,68403,20,3420.2
2016-07-01T04:00:00.000Z,Rail,Blue Line,1509610,20,75480.5
2016-07-01T04:00:00.000Z,Rail,Green Line,3721468,20,186073.4
2016-07-01T04:00:00.000Z,Rail,Orange Line,4233095,20,211654.7
2016-07-01T04:00:00.000Z,Rail,Red Line,5270208,20,263510.4
2016-07-01T04:00:00.000Z,The RIDE,The RIDE,136282,20,6814.1
2016-08-01T04:00:00.000Z,Bus,Bus,8052127,23,350092.5
2016-08-01T04:00:00.000Z,Bus,Silver Line,823347,23,35797.7
2016-08-01T04:00:00.000Z,Commuter Rail,Commuter Rail,3014604,23,131069.7
2016-08-01T04:00:00.000Z,Ferry,Boat-F1,84757,23,3685.1
2016-08-01T04:00:00.000Z,Ferry,Boat-F4,74815,23,3252.9
2016-08-01T04:00:00.000Z,Rail,Blue Line,1666468,23,72455.1
2016-08-01T04:00:00.000Z,Rail,Green Line,4003897,23,174082.5
2016-08-01T04:00:00.000Z,Rail,Orange Line,4692482,23,204021
2016-08-01T04:00:00.000Z,Rail,Red Line,5774632,23,251070.9
2016-08-01T04:00:00.000Z,The RIDE,The RIDE,156522,23,6805.3
2016-09-01T04:00:00.000Z,Bus,Bus,8186778,21,389846.6
2016-09-01T04:00:00.000Z,Bus,Silver Line,724110,21,34481.4
2016-09-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2830550,22,128661.4
2016-09-01T04:00:00.000Z,Ferry,Boat-F1,71201,22,3236.4
2016-09-01T04:00:00.000Z,Ferry,Boat-F4,48519,22,2205.4
2016-09-01T04:00:00.000Z,Rail,Blue Line,1576201,21,75057.2
2016-09-01T04:00:00.000Z,Rail,Green Line,4076521,21,194120.1
2016-09-01T04:00:00.000Z,Rail,Orange Line,4702395,21,223923.6
2016-09-01T04:00:00.000Z,Rail,Red Line,5702668,21,271555.6
2016-09-01T04:00:00.000Z,The RIDE,The RIDE,150322,21,7158.2
2016-10-01T04:00:00.000Z,Bus,Bus,7676816,20,383840.8
2016-10-01T04:00:00.000Z,Bus,Silver Line,715177,20,35758.9
2016-10-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2845193,21,135485.4
2016-10-01T04:00:00.000Z,Ferry,Boat-F1,69678,21,3318
2016-10-01T04:00:00.000Z,Ferry,Boat-F4,44432,21,2115.8
2016-10-01T04:00:00.000Z,Rail,Blue Line,1550149,21,73816.6
2016-10-01T04:00:00.000Z,Rail,Green Line,4029136,21,191863.6
2016-10-01T04:00:00.000Z,Rail,Orange Line,4651161,21,221483.9
2016-10-01T04:00:00.000Z,Rail,Red Line,5657271,21,269393.9
2016-10-01T04:00:00.000Z,The RIDE,The RIDE,148136,21,7054.1
2016-11-01T04:00:00.000Z,Bus,Bus,7403080,20,370154
2016-11-01T04:00:00.000Z,Bus,Silver Line,683466,20,34173.3
2016-11-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2760800,22,125490.9
2016-11-01T04:00:00.000Z,Ferry,Boat-F1,66818,21,3181.8
2016-11-01T04:00:00.000Z,Ferry,Boat-F4,33436,21,1592.2
2016-11-01T04:00:00.000Z,Rail,Blue Line,1486293,21,70775.8
2016-11-01T04:00:00.000Z,Rail,Green Line,3831723,21,182463
2016-11-01T04:00:00.000Z,Rail,Orange Line,4497805,21,214181.2
2016-11-01T04:00:00.000Z,Rail,Red Line,5413231,21,257772.9
2016-11-01T04:00:00.000Z,The RIDE,The RIDE,147798,21,7038
2016-12-01T05:00:00.000Z,Bus,Bus,7119231,21,339011
2016-12-01T05:00:00.000Z,Bus,Silver Line,666184,21,31723
2016-12-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2732358,22,124198.1
2016-12-01T05:00:00.000Z,Ferry,Boat-F1,58582,21,2789.6
2016-12-01T05:00:00.000Z,Ferry,Boat-F4,29298,21,1395.2
2016-12-01T05:00:00.000Z,Rail,Blue Line,1399861,21,66660.1
2016-12-01T05:00:00.000Z,Rail,Green Line,3497594,21,166552.1
2016-12-01T05:00:00.000Z,Rail,Orange Line,4145175,21,197389.3
2016-12-01T05:00:00.000Z,Rail,Red Line,4944886,21,235470.8
2016-12-01T05:00:00.000Z,The RIDE,The RIDE,145378,21,6922.8
2017-01-01T05:00:00.000Z,Bus,Bus,6857420,20,342871
2017-01-01T05:00:00.000Z,Bus,Silver Line,668607,20,33430.4
2017-01-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2530346,20,126517.3
2017-01-01T05:00:00.000Z,Ferry,Boat-F1,63397,21,3018.9
2017-01-01T05:00:00.000Z,Ferry,Boat-F4,27080,21,1289.5
2017-01-01T05:00:00.000Z,Rail,Blue Line,1333203,20,66660.2
2017-01-01T05:00:00.000Z,Rail,Green Line,3368738,20,168436.9
2017-01-01T05:00:00.000Z,Rail,Orange Line,4153221,20,207661
2017-01-01T05:00:00.000Z,Rail,Red Line,4935366,20,246768.3
2017-01-01T05:00:00.000Z,The RIDE,The RIDE,139868,20,6993.4
2017-02-01T05:00:00.000Z,Bus,Bus,6320900,19,332678.9
2017-02-01T05:00:00.000Z,Bus,Silver Line,603358,19,31755.7
2017-02-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2366827,19,124569.8
2017-02-01T05:00:00.000Z,Ferry,Boat-F1,48613,20,2430.7
2017-02-01T05:00:00.000Z,Ferry,Boat-F4,26631,20,1331.6
2017-02-01T05:00:00.000Z,Rail,Blue Line,1253564,19,65977
2017-02-01T05:00:00.000Z,Rail,Green Line,3335246,19,175539.3
2017-02-01T05:00:00.000Z,Rail,Orange Line,3887141,19,204586.4
2017-02-01T05:00:00.000Z,Rail,Red Line,4696803,19,247200.2
2017-02-01T05:00:00.000Z,The RIDE,The RIDE,122620,19,6453.7
2017-03-01T05:00:00.000Z,Bus,Bus,7823065,23,340133.3
2017-03-01T05:00:00.000Z,Bus,Silver Line,770216,23,33487.7
2017-03-01T05:00:00.000Z,Commuter Rail,Commuter Rail,2742436,23,119236.3
2017-03-01T05:00:00.000Z,Ferry,Boat-F1,66563,23,2894
2017-03-01T05:00:00.000Z,Ferry,Boat-F4,30999,23,1347.8
2017-03-01T05:00:00.000Z,Rail,Blue Line,1542035,23,67045
2017-03-01T05:00:00.000Z,Rail,Green Line,4010221,23,174357.4
2017-03-01T05:00:00.000Z,Rail,Orange Line,4735889,23,205908.2
2017-03-01T05:00:00.000Z,Rail,Red Line,5750523,23,250022.8
2017-03-01T05:00:00.000Z,The RIDE,The RIDE,157978,23,6868.6
2017-04-01T04:00:00.000Z,Bus,Bus,6911721,20,345586.1
2017-04-01T04:00:00.000Z,Bus,Silver Line,681787,20,34089.4
2017-04-01T04:00:00.000Z,Commuter Rail,Commuter Rail,2438211,20,121910.6
2017-04-01T04:00:00.000Z,Ferry,Boat-F1,61364,20,3068.2
2017-04-01T04:00:00.000Z,Ferry,Boat-F4,38199,20,1910
