date,value,mode
2017-01-01T05:00:00.000Z,33430,Bus (Silver Line)
2017-01-01T05:00:00.000Z,6993,The RIDE
2017-01-01T05:00:00.000Z,246768,Rail (Red)
2017-01-01T05:00:00.000Z,168437,Rail (Green)
2017-01-01T05:00:00.000Z,66660,Rail (Blue)
2017-01-01T05:00:00.000Z,207661,Rail (Orange)
2017-01-01T05:00:00.000Z,3019,Ferry (Boat-F1)
2017-02-01T05:00:00.000Z,124570,Commuter Rail
2017-02-01T05:00:00.000Z,332679,Bus (Bus)
2017-02-01T05:00:00.000Z,31756,Bus (Silver Line)
2017-02-01T05:00:00.000Z,6454,The RIDE
2017-02-01T05:00:00.000Z,247200,Rail (Red)
2017-02-01T05:00:00.000Z,175539,Rail (Green)
2017-02-01T05:00:00.000Z,65977,Rail (Blue)
2017-02-01T05:00:00.000Z,204586,Rail (Orange)
2017-02-01T05:00:00.000Z,2431,Ferry (Boat-F1)
2017-03-01T05:00:00.000Z,119236,Commuter Rail
2017-03-01T05:00:00.000Z,340133,Bus (Bus)
2017-03-01T05:00:00.000Z,33488,Bus (Silver Line)
2017-03-01T05:00:00.000Z,6869,The RIDE
2017-03-01T05:00:00.000Z,250023,Rail (Red)
2017-03-01T05:00:00.000Z,174357,Rail (Green)
2017-03-01T05:00:00.000Z,67045,Rail (Blue)
2017-03-01T05:00:00.000Z,205908,Rail (Orange)
2017-03-01T05:00:00.000Z,2894,Ferry (Boat-F1)
2017-04-01T04:00:00.000Z,121911,Commuter Rail
2017-04-01T04:00:00.000Z,345586,Bus (Bus)
2017-04-01T04:00:00.000Z,34089,Bus (Silver Line)
2017-04-01T04:00:00.000Z,7053,The RIDE
2017-04-01T04:00:00.000Z,263664,Rail (Red)
2017-04-01T04:00:00.000Z,190313,Rail (Green)
2017-04-01T04:00:00.000Z,72875,Rail (Blue)
2017-04-01T04:00:00.000Z,215577,Rail (Orange)
2017-04-01T04:00:00.000Z,3068,Ferry (Boat-F1)
2017-05-01T04:00:00.000Z,121585,Commuter Rail
2017-05-01T04:00:00.000Z,361149,Bus (Bus)
2017-05-01T04:00:00.000Z,35346,Bus (Silver Line)
2017-05-01T04:00:00.000Z,7008,The RIDE
2017-05-01T04:00:00.000Z,261847,Rail (Red)
2017-05-01T04:00:00.000Z,175227,Rail (Green)
2017-05-01T04:00:00.000Z,72612,Rail (Blue)
2017-05-01T04:00:00.000Z,213569,Rail (Orange)
2017-05-01T04:00:00.000Z,3942,Ferry (Boat-F1)
2017-06-01T04:00:00.000Z,126323,Commuter Rail
2017-06-01T04:00:00.000Z,353051,Bus (Bus)
2017-06-01T04:00:00.000Z,34820,Bus (Silver Line)
2017-06-01T04:00:00.000Z,6737,The RIDE
2017-06-01T04:00:00.000Z,262444,Rail (Red)
2017-06-01T04:00:00.000Z,179911,Rail (Green)
2017-06-01T04:00:00.000Z,76628,Rail (Blue)
2017-06-01T04:00:00.000Z,214284,Rail (Orange)
2017-06-01T04:00:00.000Z,2174,Ferry (Boat-F1)
2017-07-01T04:00:00.000Z,134934,Commuter Rail
2017-07-01T04:00:00.000Z,329950,Bus (Bus)
2017-07-01T04:00:00.000Z,36217,Bus (Silver Line)
2017-07-01T04:00:00.000Z,6418,The RIDE
2017-07-01T04:00:00.000Z,258456,Rail (Red)
2017-07-01T04:00:00.000Z,172232,Rail (Green)
2017-07-01T04:00:00.000Z,75683,Rail (Blue)
2017-07-01T04:00:00.000Z,205060,Rail (Orange)
2017-07-01T04:00:00.000Z,3536,Ferry (Boat-F1)
2017-08-01T04:00:00.000Z,124655,Commuter Rail
2017-08-01T04:00:00.000Z,326885,Bus (Bus)
2017-08-01T04:00:00.000Z,34292,Bus (Silver Line)
2017-08-01T04:00:00.000Z,6495,The RIDE
2017-08-01T04:00:00.000Z,251572,Rail (Red)
2017-08-01T04:00:00.000Z,164419,Rail (Green)
2017-08-01T04:00:00.000Z,74686,Rail (Blue)
2017-08-01T04:00:00.000Z,201052,Rail (Orange)
2017-08-01T04:00:00.000Z,3586,Ferry (Boat-F1)
2017-09-01T04:00:00.000Z,126314,Commuter Rail
2017-09-01T04:00:00.000Z,370020,Bus (Bus)
2017-09-01T04:00:00.000Z,33190,Bus (Silver Line)
2017-09-01T04:00:00.000Z,6634,The RIDE
2017-09-01T04:00:00.000Z,270487,Rail (Red)
2017-09-01T04:00:00.000Z,189457,Rail (Green)
2017-09-01T04:00:00.000Z,77762,Rail (Blue)
2017-09-01T04:00:00.000Z,222375,Rail (Orange)
2017-09-01T04:00:00.000Z,3470,Ferry (Boat-F1)
2017-10-01T04:00:00.000Z,125295,Commuter Rail
2017-10-01T04:00:00.000Z,365912,Bus (Bus)
2017-10-01T04:00:00.000Z,33987,Bus (Silver Line)
2017-10-01T04:00:00.000Z,6631,The RIDE
2017-10-01T04:00:00.000Z,268118,Rail (Red)
2017-10-01T04:00:00.000Z,180739,Rail (Green)
2017-10-01T04:00:00.000Z,76656,Rail (Blue)
2017-10-01T04:00:00.000Z,221488,Rail (Orange)
2017-10-01T04:00:00.000Z,3450,Ferry (Boat-F1)
2017-11-01T04:00:00.000Z,123523,Commuter Rail
2017-11-01T04:00:00.000Z,351272,Bus (Bus)
2017-11-01T04:00:00.000Z,32833,Bus (Silver Line)
2017-11-01T04:00:00.000Z,6583,The RIDE
2017-11-01T04:00:00.000Z,256701,Rail (Red)
2017-11-01T04:00:00.000Z,174679,Rail (Green)
2017-11-01T04:00:00.000Z,72503,Rail (Blue)
2017-11-01T04:00:00.000Z,211915,Rail (Orange)
2017-11-01T04:00:00.000Z,3232,Ferry (Boat-F1)
2017-12-01T05:00:00.000Z,120568,Commuter Rail
2017-12-01T05:00:00.000Z,321301,Bus (Bus)
2017-12-01T05:00:00.000Z,30618,Bus (Silver Line)
2017-12-01T05:00:00.000Z,6311,The RIDE
2017-12-01T05:00:00.000Z,227430,Rail (Red)
2017-12-01T05:00:00.000Z,155123,Rail (Green)
2017-12-01T05:00:00.000Z,66596,Rail (Blue)
2017-12-01T05:00:00.000Z,191613,Rail (Orange)
2017-12-01T05:00:00.000Z,2774,Ferry (Boat-F1)
2018-01-01T05:00:00.000Z,118585,Commuter Rail
2018-01-01T05:00:00.000Z,325752,Bus (Bus)
2018-01-01T05:00:00.000Z,30247,Bus (Silver Line)
2018-01-01T05:00:00.000Z,5970,The RIDE
2018-01-01T05:00:00.000Z,223623,Rail (Red)
2018-01-01T05:00:00.000Z,149578,Rail (Green)
2018-01-01T05:00:00.000Z,63010,Rail (Blue)
2018-01-01T05:00:00.000Z,189872,Rail (Orange)
2018-01-01T05:00:00.000Z,1691,Ferry (Boat-F1)
